Sr. No.,Place,State in India/Country,Body part or ornament,Shakti,Bhairava,Location,Latitude,Longitude
34,(Manikya Amba Shaktipeeth / Bheemeswara Swami Temple) Draksharamam Kakinada,Andhra Pradesh,Navel,Manikyamba,Bheemeshwar,"Draksharamam, Andhra Pradesh, India",16.791445,82.059782
35,Naina Devi Temple,Himachal Pradesh,Right eye,Mahishamardini Devi,Krodhishwar,"Bilaspur, Himachal Pradesh, India",31.3380959,76.7611631
36,"Shondesh/Shon/Maa Narmada temple, at the source point of Narmada River in Amarkantak",Madhya Pradesh,Right buttock,Narmada,Bhadraseneshwar,"Anuppur, Madhya Pradesh, India",22.670465,81.7588417
37,"Srisailam, at Nallamala hills, Andhra Pradesh","Andhra Pradesh, India",Neck,Bhramarambika Devi,Mallikarjuna,"Nandyal, Andhra Pradesh, India",16.0737808,78.8727065
38,"Shuchi, in a Shiva temple at Suchindrum 11 km on Kanyakumari Trivandrum road",Tamil Nadu,Upper teeth,Narayani,Sihareshwar,"Kanyakumari, Tamil Nadu, India",8.1571873,77.4661628
39,"Sugandha, situated in Shikarpur, Gournadi, about 20 km from Barisal town, on the banks of Sonda river.8",Bangladesh,Nose,Sugandha,Trayambakeshwar,"Shikarpur, Barisal, Bangladesh",22.83713,90.273742
40,"Udaipur, Tripura, at the top of the hills known as Tripura Sundari temple near Radhakishorepur village, a little distance away from Udaipur town",Tripura,Right leg,Raja Rajeshwari Lalita Tripura Sundari (Third mahavidya) (main form of Parvati),Tripureshwar,"Gomati, Tripura, India",23.5416162,91.4917593
41,"Ujaani, at Mangalkot 16 km from Guskara station in Purba Bardhaman district",West Bengal,Right wrist,Mangal Chandika,Kapilambareshwar,"Purba Bardhaman, West Bengal, India",23.4926217,87.7371023
42,Varanasi at Manikarnika Ghat on banks of the Ganges at Kashi,Uttar Pradesh,Earring,Vishalakshi Devi,Kala Bhairaveshwar,"Varanasi, Uttar Pradesh, India",25.3719338,82.9414272
43,"Vibhash Shaktipeeth, at Tamluk under district Purba Medinipur",West Bengal,Left ankle,Kapalini Devi (Bhimarupa) also known as Bargabhima Devi,Sarvanandeshwar,"East Medinipur, West Bengal, India",22.2905507,87.9158659
44,"Ambika Shaktipeeth, Virat Nagar district, Alwar, near Bharatpur, India",Rajasthan,Fingers of Left Leg,Ambika Devi,Amritaksheshwar,"Bharatpur, Rajasthan, India",27.2154447,77.4986962
45,"Katyayani Shakta pitha, Vrindavan, district Mathura",Uttar Pradesh,Ringlets of hair,Uma Devi,Bhuteshwar,"Mathura, Uttar Pradesh , India",27.633333,77.583333
46,"Devi Talab Mandir, District Jalandhar",Punjab,Left Breast,Tripuramalini Devi,Bhishaneshwar,"Jalandhar, Punjab, India",31.2922311,75.5678878
47,Baidyanath Dham at Deoghar,Jharkhand,Heart,Jayadurga Devi,Baidyanath,"Deoghar, Jharkhand, India",24.3284257,86.7182506
48,"Adi Kamakshi Amman Temple behind Kamakshi Amman Temple, situated at Kanchipuram Town, Kanchipuram District",Tamil Nadu,Odyanam (Navel),Kamakshi Devi (Elavarkuzhali),Ekambareshwar,"Kanchipuram, Tamil Nadu, India ",12.9647163,79.9839686
49,"Jogadya (যোগাদ্যা), at Kshirgram (ক্ষীরগ্রাম) near Kaichar under Burdwan district",West Bengal,Great toe,Jogadya Devi,Ksheerkantakeshwar,"Purba Bardhaman, West Bengal, India ",23.2495714,87.8681751
50,Puruhutika shaktipeeth /kukkutshwara Swamy Temple Kakinada Port Town,Peethapuram Andhra Pradesh,Hip part,Puruhutika,Durvaseshwar,"Kakinada, Andhra Pradesh, India",17.120459,82.1842504
51,Arasuri Ambaji Shaktipeeth at Gabbar Hill (Golden Temple of Gujarat),Gujarat,Heart,Amba,Batuka Bhairava,"Banaskantha, Gujarat, India",24.3332794,72.8496191
52,"Danteshwari Temple, Dantewada",Chhattisgarh,Tooth,Danteshwari Devi,Kapala Bhairava,"Bastar, Chhattisgarh, India",18.9247414,81.4819364
